year,country,shipments,share
1874,Canada,676,0.1814
1874,Sweden,788,0.2114
1874,Norway,517,0.1387
1874,Russia,859,0.2305
1874,Finland,279,0.0749
1874,Germany,368,0.0987
1874,USA,223,0.0598
1874,France,17,0.0046
1875,Canada,537,0.1611
1875,Sweden,801,0.2403
1875,Norway,634,0.1902
1875,Russia,614,0.1842
1875,Finland,181,0.0543
1875,Germany,292,0.0876
1875,USA,255,0.0765
1875,France,20,0.006
1879,Canada,660,0.1193
1879,Sweden,1584,0.2863
1879,Norway,770,0.1392
1879,Russia,1049,0.1896
1879,Finland,348,0.0629
1879,Germany,464,0.0839
1879,USA,82,0.0148
1879,France,575,0.1039
1881,Canada,1281,0.112
1881,Sweden,2489,0.2176
1881,Norway,2229,0.1948
1881,Russia,1427,0.1247
1881,Finland,623,0.0545
1881,Germany,946,0.0827
1881,USA,1270,0.111
1881,France,1176,0.1028
1883,Canada,1417,0.1133
1883,Sweden,2734,0.2186
1883,Norway,2436,0.1948
1883,Russia,1524,0.1218
1883,Finland,620,0.0496
1883,Germany,1144,0.0915
1883,USA,1488,0.119
1883,France,1145,0.0915
1885,Canada,1063,0.0946
1885,Sweden,2722,0.2422
1885,Norway,1946,0.1731
1885,Russia,1502,0.1336
1885,Finland,567,0.0504
1885,Germany,988,0.0879
1885,USA,1492,0.1327
1885,France,960,0.0854
1887,Canada,984,0.0871
1887,Sweden,2651,0.2347
1887,Norway,2104,0.1862
1887,Russia,1672,0.148
1887,Finland,551,0.0488
1887,Germany,884,0.0783
1887,USA,1477,0.1307
1887,France,974,0.0862
1889,Canada,1141,0.0928
1889,Sweden,2886,0.2347
1889,Norway,2317,0.1884
1889,Russia,1715,0.1395
1889,Finland,603,0.049
1889,Germany,1028,0.0836
1889,USA,1536,0.1249
1889,France,1071,0.0871
1891,Canada,640,0.0692
1891,Sweden,2197,0.2375
1891,Norway,1740,0.1881
1891,Russia,1105,0.1194
1891,Finland,421,0.0455
1891,Germany,859,0.0928
1891,USA,1410,0.1524
1891,France,880,0.0951
1893,Canada,873,0.0974
1893,Sweden,2299,0.2565
1893,Norway,1367,0.1525
1893,Russia,1202,0.1341
1893,Finland,553,0.0617
1893,Germany,601,0.0671
1893,USA,1242,0.1386
1893,France,825,0.0921
1895,Canada,820,0.0844
1895,Sweden,2688,0.2767
1895,Norway,1551,0.1596
1895,Russia,1443,0.1485
1895,Finland,610,0.0628
1895,Germany,704,0.0725
1895,USA,1117,0.115
1895,France,783,0.0806
1897,Canada,821,0.0921
1897,Sweden,2138,0.2397
1897,Norway,1550,0.1738
1897,Russia,1105,0.1239
1897,Finland,466,0.0522
1897,Germany,682,0.0765
1897,USA,1349,0.1513
1897,France,808,0.0906
1899,Canada,924,0.09
1899,Sweden,2637,0.257
1899,Norway,1682,0.1639
1899,Russia,1293,0.126
1899,Finland,695,0.0677
1899,Germany,653,0.0636
1899,USA,1553,0.1513
1899,France,824,0.0803
