dest,origin,origin_region,years_active,first,last,dest_total
Greenock,Quebec City,British North America,13,1874,1899,979
Greenock,Pensacola,USA & Gulf,13,1874,1899,979
Poole,Fredrikstad,Scandinavia,11,1879,1899,506
Llanelli,Bordeaux,France & Low Countries,11,1879,1899,393
LOWESTOFT,Riga,Russia & Baltic,10,1881,1899,396
King's Lynn,Danzig,Germany & Prussia,10,1881,1899,822
Dublin,Fredrikstad,Scandinavia,10,1881,1899,725
Cork,St. John,British North America,10,1881,1899,316
Peterhead,Riga,Russia & Baltic,10,1881,1899,453
Chester,Fredrikstad,Scandinavia,10,1881,1899,285
Aberdeen,Sundswall,Scandinavia,10,1881,1899,878
Plymouth,Riga,Russia & Baltic,10,1881,1899,948
Kirkcaldy,Riga,Russia & Baltic,10,1881,1899,815
Kirkcaldy,Gothenburg,Scandinavia,10,1881,1899,815
Kirkcaldy,Christiania,Scandinavia,10,1881,1899,815
NEWHAVEN,Dieppe,Britain & Ireland,10,1881,1899,519
Peterhead,Sundswall,Scandinavia,10,1881,1899,453
WISBECH,Helsingfors,Scandinavia,10,1881,1899,773
NEWHAVEN,Fredrikstad,Scandinavia,10,1881,1899,519
NEWHAVEN,Riga,Russia & Baltic,10,1881,1899,519
Portsmouth,Gothenburg,Scandinavia,10,1881,1899,415
WISBECH,Cronstadt,Russia & Baltic,10,1881,1899,773
Limerick,St. John,British North America,10,1881,1899,191
Rochester,Kotka,Scandinavia,10,1881,1899,532
Chester,Porsgrund,Scandinavia,10,1881,1899,285
Fleetwood,St. John,British North America,10,1881,1899,485
Plymouth,Danzig,Germany & Prussia,10,1881,1899,948
WISBECH,Wyborg,Russia & Baltic,10,1881,1899,773
WISBECH,Danzig,Germany & Prussia,10,1881,1899,773
Arbroath,Riga,Russia & Baltic,10,1881,1899,147
Montrose,Cronstadt,Russia & Baltic,10,1881,1899,532
Wick,Sundswall,Scandinavia,10,1881,1899,588
Dublin,St. John,British North America,10,1881,1899,725
King's Lynn,Kotka,Scandinavia,10,1881,1899,822
Plymouth,Quebec City,British North America,10,1881,1899,948
Portsmouth,Sundswall,Scandinavia,10,1881,1899,415
Ipswich,Fredrikstad,Scandinavia,10,1881,1899,310
King's Lynn,Bjorneborg,Scandinavia,10,1881,1899,822
Aberdeen,Riga,Russia & Baltic,10,1881,1899,878
Montrose,Riga,Russia & Baltic,10,1881,1899,532
Dublin,Riga,Russia & Baltic,10,1881,1899,725
Aberdeen,Cronstadt,Russia & Baltic,10,1881,1899,878
Aberdeen,Gothenburg,Scandinavia,10,1881,1899,878
King's Lynn,Gefle,Scandinavia,10,1881,1899,822
King's Lynn,Riga,Russia & Baltic,10,1881,1899,822
WISBECH,Klaipeda,Scandinavia,10,1881,1899,773
Londonderry,St. John,British North America,10,1881,1899,178
Poole,Gothenburg,Scandinavia,10,1879,1899,506
Poole,Gefle,Scandinavia,10,1879,1899,506
LOWESTOFT,Danzig,Germany & Prussia,10,1881,1899,396
EXETER,Gothenburg,Scandinavia,10,1881,1899,182
Plymouth,Fredrikstad,Scandinavia,10,1881,1899,948
Dundalk,Riga,Russia & Baltic,10,1881,1899,144
Fleetwood,Quebec City,British North America,10,1881,1899,485
Portsmouth,Danzig,Germany & Prussia,10,1881,1899,415
WISBECH,Kotka,Scandinavia,10,1881,1899,773
Berwick-upon-Tweed,Cronstadt,Russia & Baltic,10,1881,1899,221
Colchester,Fredrikstad,Scandinavia,10,1881,1899,180
Greenock,Rangoon,Africa & Tropics,10,1881,1899,979
Plymouth,Archangel,Russia & Baltic,10,1881,1899,948
Plymouth,Lulea,Scandinavia,10,1881,1899,948
Aberystwyth,Riga,Russia & Baltic,10,1881,1899,91
Plymouth,Christiania,Scandinavia,10,1881,1899,948
FAVERSHAM,Fredrikstad,Scandinavia,10,1881,1899,148
FOWEY,Fredrikstad,Scandinavia,10,1881,1899,181
Barrow-in-Furness,Pensacola,USA & Gulf,10,1881,1899,555
Goole,Sundswall,Scandinavia,10,1879,1899,752
Plymouth,Gefle,Scandinavia,9,1881,1899,948
Dublin,Quebec City,British North America,9,1881,1899,725
Ayr,Sundswall,Scandinavia,9,1883,1899,300
Greenock,Mobile,USA & Gulf,9,1881,1899,979
Inverness,Sundswall,Scandinavia,9,1881,1897,238
Wick,Risoer,Scandinavia,9,1881,1897,588
Barrow-in-Furness,Riga,Russia & Baltic,9,1879,1899,555
Caernarfon,Fredrikstad,Scandinavia,9,1881,1899,131
Goole,Rotterdam,France & Low Countries,9,1883,1899,752
Rochester,Riga,Russia & Baltic,9,1881,1897,532
King's Lynn,Christiania,Scandinavia,9,1881,1899,822
Greenock,Demerara,USA & Gulf,9,1881,1897,979
Kirkcaldy,Oscarshamn,Scandinavia,9,1883,1899,815
Milford Haven,Gothenburg,Scandinavia,9,1883,1899,91
Portsmouth,Fredrikstad,Scandinavia,9,1881,1899,415
Rochester,Danzig,Germany & Prussia,9,1881,1899,532
Cork,Quebec City,British North America,9,1881,1899,316
Barrow-in-Furness,Quebec City,British North America,9,1879,1899,555
Barrow-in-Furness,Miramichi,British North America,9,1881,1899,555
DOUGLAS,Sundswall,Scandinavia,9,1883,1899,93
EXETER,Riga,Russia & Baltic,9,1881,1899,182
Poole,Riga,Russia & Baltic,9,1879,1897,506
Poole,Sundswall,Scandinavia,9,1879,1899,506
Shoreham,Soderhamn,Scandinavia,9,1881,1897,348
Stockton,Riga,Russia & Baltic,9,1881,1899,133
Peterhead,Trondheim,Scandinavia,9,1883,1899,453
Limerick,Quebec City,British North America,9,1881,1899,191
Dublin,Christiania,Scandinavia,9,1881,1899,725
Plymouth,Skelleftea,Scandinavia,9,1881,1899,948
Rochester,Fredrikstad,Scandinavia,9,1881,1899,532
Newry,St. John,British North America,9,1881,1897,122
Londonderry,Miramichi,British North America,9,1881,1899,178
Waterford,Quebec City,British North America,9,1881,1899,135
Boston,Riga,Russia & Baltic,9,1881,1899,460
Bridgwater,Halden,Scandinavia,9,1883,1899,293
Waterford,St. John,British North America,9,1881,1897,135
Banff,Sundswall,Scandinavia,9,1881,1897,133
Montrose,Danzig,Germany & Prussia,9,1881,1899,532
Dublin,Miramichi,British North America,9,1881,1899,725
Dublin,Archangel,Russia & Baltic,9,1881,1899,725
Bridgwater,Fredrikstad,Scandinavia,9,1881,1899,293
Caernarfon,Quebec City,British North America,9,1881,1899,131
Fleetwood,Riga,Russia & Baltic,9,1883,1899,485
Boston,Klaipeda,Scandinavia,9,1881,1899,460
Aberdeen,Quebec City,British North America,9,1881,1897,878
Montrose,Hommelvik,Scandinavia,9,1883,1899,532
Kirkcaldy,Falkenberg,Germany & Prussia,9,1883,1899,815
King's Lynn,Soderhamn,Scandinavia,9,1881,1899,822
King's Lynn,Sundswall,Scandinavia,9,1881,1899,822
SCARBOROUGH,Sundswall,Scandinavia,9,1881,1899,139
Waterford,Riga,Russia & Baltic,9,1881,1897,135
King's Lynn,Cronstadt,Russia & Baltic,9,1881,1899,822
King's Lynn,Stettin,Germany & Prussia,9,1881,1899,822
Aberystwyth,Drammen,Scandinavia,9,1881,1899,91
King's Lynn,Archangel,Russia & Baltic,9,1881,1899,822
Goole,Stettin,Germany & Prussia,9,1879,1895,752
King's Lynn,Fredrikstad,Scandinavia,9,1881,1899,822
WISBECH,Archangel,Russia & Baltic,9,1883,1899,773
Plymouth,Gothenburg,Scandinavia,9,1881,1899,948
Shoreham,Christiania,Scandinavia,9,1881,1899,348
Poole,Archangel,Russia & Baltic,9,1879,1899,506
Ipswich,Soderhamn,Scandinavia,9,1881,1897,310
Bridgwater,Archangel,Russia & Baltic,9,1881,1897,293
Portsmouth,Quebec City,British North America,9,1881,1899,415
FAVERSHAM,Christiania,Scandinavia,9,1881,1899,148
Ayr,Pensacola,USA & Gulf,9,1881,1899,300
BARNSTAPLE,Fredrikstad,Scandinavia,9,1881,1897,71
Ipswich,Gothenburg,Scandinavia,9,1883,1899,310
WISBECH,Uleaborg,Scandinavia,9,1881,1899,773
WISBECH,Christiania,Scandinavia,9,1881,1899,773
Ayr,Quebec City,British North America,9,1881,1897,300
NEWHAVEN,Soderhamn,Scandinavia,9,1881,1897,519
Dundalk,St. John,British North America,9,1881,1897,144
Shoreham,Fredrikstad,Scandinavia,9,1881,1899,348
Harwich,Gefle,Scandinavia,9,1881,1899,258
Barrow-in-Furness,Danzig,Germany & Prussia,9,1879,1897,555
Goole,Pensacola,USA & Gulf,8,1879,1899,752
Poole,Drammen,Scandinavia,8,1879,1895,506
Montrose,Archangel,Russia & Baltic,8,1881,1899,532
Wick,Cronstadt,Russia & Baltic,8,1881,1899,588
Whitby,Gothenburg,Scandinavia,8,1881,1899,58
Troon,Quebec City,British North America,8,1881,1895,200
Teignmouth,Gothenburg,Scandinavia,8,1881,1899,90
Plymouth,Mobile,USA & Gulf,8,1883,1899,948
Wick,Trondheim,Scandinavia,8,1881,1897,588
Barrow-in-Furness,Porsgrund,Scandinavia,8,1881,1899,555
Ipswich,Cronstadt,Russia & Baltic,8,1881,1899,310
Galway,St. John,British North America,8,1881,1897,58
Ayr,Halden,Scandinavia,8,1885,1899,300
Kirkcaldy,Christiansand,Scandinavia,8,1881,1899,815
NEWHAVEN,Gefle,Scandinavia,8,1881,1899,519
Plymouth,Sundswall,Scandinavia,8,1881,1899,948
Shoreham,Gefle,Scandinavia,8,1881,1899,348
Ayr,Miramichi,British North America,8,1881,1899,300
PENZANCE,Fredrikstad,Scandinavia,8,1881,1899,123
WISBECH,Pensacola,USA & Gulf,8,1881,1899,773
Boston,Danzig,Germany & Prussia,8,1883,1899,460
Goole,Riga,Russia & Baltic,8,1883,1897,752
Port Glasgow,Quebec City,British North America,8,1874,1889,61
Boston,Arendal,Scandinavia,8,1885,1899,460
Folkestone,Soderhamn,Scandinavia,8,1883,1899,145
Goole,Archangel,Russia & Baltic,8,1879,1897,752
Dublin,Klaipeda,Scandinavia,8,1881,1897,725
Fleetwood,Pensacola,USA & Gulf,8,1881,1897,485
Fleetwood,Montreal,British North America,8,1881,1899,485
Aberdeen,Trondheim,Scandinavia,8,1883,1897,878
LITTLEHAMPTON,Gefle,Scandinavia,8,1881,1897,213
Aberdeen,Pensacola,USA & Gulf,8,1881,1899,878
Wick,Lillesand,Scandinavia,8,1881,1899,588
LOWESTOFT,Drammen,Scandinavia,8,1883,1899,396
Berwick-upon-Tweed,Bjorneborg,Scandinavia,8,1881,1897,221
Milford Haven,Danzig,Germany & Prussia,8,1881,1899,91
Llanelli,Gothenburg,Scandinavia,8,1881,1899,393
LOWESTOFT,Klaipeda,Scandinavia,8,1881,1897,396
PENZANCE,Porsgrund,Scandinavia,8,1881,1899,123
WISBECH,Riga,Russia & Baltic,8,1881,1899,773
Llanelli,Blaye,France & Low Countries,8,1883,1899,393
Ardrossan,Riga,Russia & Baltic,8,1883,1899,143
King's Lynn,Klaipeda,Scandinavia,8,1881,1895,822
Truro,Porsgrund,Scandinavia,8,1881,1899,157
Wick,Mandal,Scandinavia,8,1881,1897,588
COWES,Nederkalix,Scandinavia,8,1883,1899,105
Folkestone,Fredrikstad,Scandinavia,8,1883,1897,145
LANCASTER,Richibouctou,Other,8,1881,1899,143
Greenock,Pascagoula,USA & Gulf,8,1883,1899,979
Greenock,Cronstadt,Russia & Baltic,8,1875,1893,979
Cork,Rotterdam,France & Low Countries,8,1881,1899,316
Greenock,New York,USA & Gulf,8,1885,1899,979
Kirkcaldy,Porsgrund,Scandinavia,8,1881,1899,815
Aberdeen,Bjorneborg,Scandinavia,8,1883,1899,878
Shoreham,Sundswall,Scandinavia,8,1881,1895,348
Inverness,Gothenburg,Scandinavia,8,1881,1897,238
Stockton,Gefle,Scandinavia,8,1881,1899,133
Weymouth,Gothenburg,Scandinavia,8,1883,1899,80
Poole,Halden,Scandinavia,8,1885,1899,506
Barrow-in-Furness,Uleaborg,Scandinavia,8,1879,1897,555
Falmouth,Porsgrund,Scandinavia,8,1881,1899,103
Ipswich,Drammen,Scandinavia,8,1881,1899,310
Falmouth,Lulea,Scandinavia,8,1885,1899,103
King's Lynn,Gothenburg,Scandinavia,8,1881,1897,822
Plymouth,Porsgrund,Scandinavia,8,1881,1895,948
SCARBOROUGH,Gothenburg,Scandinavia,8,1883,1899,139
Truro,Sundswall,Scandinavia,8,1881,1897,157
Plymouth,Skien,Scandinavia,8,1881,1899,948
Plymouth,Pensacola,USA & Gulf,8,1881,1899,948
Barrow-in-Furness,St. John,British North America,8,1881,1897,555
Fraserburgh,Sundswall,Scandinavia,8,1881,1899,167
Barrow-in-Furness,Pugwash,British North America,8,1879,1893,555
Fleetwood,Miramichi,British North America,8,1881,1899,485
Greenock,Moulmein,Africa & Tropics,8,1874,1899,979
Aberdeen,Stettin,Germany & Prussia,8,1883,1897,878
FAVERSHAM,Riga,Russia & Baltic,8,1883,1899,148
Harwich,Cronstadt,Russia & Baltic,8,1881,1897,258
Llanelli,Fredrikstad,Scandinavia,8,1881,1899,393
