origin_region,period,steam_share,n
Africa & Tropics,1874-81,0.181,144
Africa & Tropics,1883-89,0.258,132
Africa & Tropics,1891-99,0.544,515
Britain & Ireland,1874-81,0.036,112
Britain & Ireland,1883-89,0.047,128
Britain & Ireland,1891-99,0.396,182
British North America,1874-81,0.083,2560
British North America,1883-89,0.198,3999
British North America,1891-99,0.413,3936
France & Low Countries,1874-81,0.077,1704
France & Low Countries,1883-89,0.245,5116
France & Low Countries,1891-99,0.262,4235
Germany & Prussia,1874-81,0.112,1350
Germany & Prussia,1883-89,0.238,3168
Germany & Prussia,1891-99,0.419,3417
Iberia & Mediterranean,1874-81,0.08,163
Iberia & Mediterranean,1883-89,0.197,625
Iberia & Mediterranean,1891-99,0.394,749
Other,1874-81,0.159,547
Other,1883-89,0.25,1158
Other,1891-99,0.321,1042
Russia & Baltic,1874-81,0.257,3790
Russia & Baltic,1883-89,0.376,6345
Russia & Baltic,1891-99,0.425,5616
Scandinavia,1874-81,0.106,10177
Scandinavia,1883-89,0.215,20630
Scandinavia,1891-99,0.278,21255
USA & Gulf,1874-81,0.332,1851
USA & Gulf,1883-89,0.607,5537
USA & Gulf,1891-99,0.646,6400
